Run_ID,Condition,Time_Period,ID,Name,Pool_Total_Revenue,Output,Capacity,Capability,Dispatch_Cost,Incr_Cost,Full_Load_Cost,Net_Cost,Fixed_Cost,Variable_OM_Cost,Fixed_Cost_Base,Variable_OM_Cost_Base,Fixed_Cost_Aux1,Variable_OM_Cost_Aux1,Fixed_Cost_Aux2,Variable_OM_Cost_Aux2,Fuel_Usage,Output_MWH,Output_MWH_Primary,Output_MWH_Secondary,Percent_Marginal,Percent_Committed,Primary_Fuel_Usage,Revenue,Energy_Revenue,Capacity_Revenue,Secondary_Fuel_Usage,Total_Fuel_Cost,Value,Forced_Outage,Maint_Outage,Used_For_Op_Reserve,Spin_Reserve,Spin_Reserve_Revenue,Non_Spin_Reserve,Non_Spin_Reserve_Revenue,Input_Spin_Reserve,Input_Spin_Reserve_Revenue,Report_Year,Report_Month,Report_Day,Report_Hour,LT_Iteration,Risk_Iteration,Study_Info,Record_Number,Total_Hours_Run
Forcing Wind,Average,2020,AB_ST_Coal,AB_ST_Coal,3843015317,519.4981079,2920,"2,548.00",307.83,59.8,61.12,68.28,"204,998.00","46,264.00","204,998.00","46,264.00",0,0,.,0,"49,044,428.00",4563271.5,4563271.5,0,0.24,0,49044428,204316.0938,204316.0938,0,.,163654.45,"-302,364.00",140.87,231.3661194,0.442162782,0.442162782,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,670,8784
Forcing Wind,Average,2020,AB_ST_OT,AB_ST_OT,3843015317,301.9983521,340,302,8.98,4.28,4.29,4.43,"25,792.00","10,462.00","25,792.00","10,462.00",0,0,.,0,"11,512,486.00",2652753.5,2652753.5,0,0,0,11512486,117685.9063,117685.9063,0,.,919.07,"80,513.00",21,17,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,671,8784
Forcing Wind,Average,2020,AB_ST_SUN,AB_ST_SUN,3843015317,3.636821508,15,4,0,0,0,0,507,.,507,.,0,0,.,0,0,31945.84,31945.84,0,0,0,0,1436.119263,1436.119263,0,.,0,929,9.86,1.5,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,672,4628
Forcing Wind,Average,2020,AB_WT_WND,AB_WT_WND,3843015317,1251.487793,3545,"1,247.00",-5.36,-2.55,-2.55,-2.64,"113,985.00","-28,079.00","113,985.00","39,662.00",0,-67741.16,.,0,0,10993069,10993069,0,0,0,0,485084.2188,485084.2188,0,.,0,"399,178.00",2297.76,0,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,673,8784
Forcing Wind,Average,2020,AB_Renewables,Alberta Renewables Group,3843015317,1893.097534,4888,"1,889.00",-0.32,-0.15,-0.15,-0.43,"173,730.00","-8,543.00","173,730.00","59,198.00",0,-67741.16,.,0,"19,706,358.00",16628969,16628969,0,0,0,19706358,734164.875,734164.875,0,.,1573.2,"567,404.00",2332.29,23.20000076,599.3148193,599.3148193,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,674,8784
Forcing Wind,Average,2020,Intertie,AB Interties,3843015317,2005.592285,2526,"2,526.00",83.89,39.95,39.95,41.43,.,.,.,.,0,0,.,0,"158,554,096.00",17617122,17617122,0,99.61,0,158554096,787996.625,787996.625,0,.,706736,"81,261.00",0,0,71.49768066,70.68370056,0,0.813979983,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,675,8750
Base Case,Average,2021,MRO,MidwestReliabilityOrganization,4139225046,303.3500977,306,306,87.93,41.87,41.87,43.27,.,.,.,.,0,0,.,0,"23,916,122.00",2657347,2657347,0,99.59,0,23916122,116879,116879,0,.,111313.32,"5,566.00",0,0,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,390,8724
Base Case,Average,2021,AB,Alberta,4139225046,9192.489258,15448.06152,"12,752.00",128.13,30.44,31.2,22.29,"721,073.00","409,433.00","592,697.00","435,694.00",128376.01,-26260.44,.,0,"343,170,880.00",80526208,80526208,0,50.08,4.71,343170880,3839826,3839826,0,.,1303527.38,"1,379,046.00",1546.35,506.2950745,646.4769287,646.0509644,0,0.425978452,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,391,8760
Base Case,Average,2021,AB_CCCT_NG,AB_CCCT_NG,4139225046,2525.821289,3441.375244,"3,135.00",83.93,36.74,37.48,37.43,"189,532.00","154,547.00","140,485.00","154,547.00",49046.57,0,.,0,"158,451,504.00",22126196,22126196,0,14.6,14.92,158451504,1074178,1074178,0,.,640828.44,"81,180.00",174.85,131.8296814,19.30340195,19.30340195,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,392,8760
Base Case,Average,2021,AB_HY_WAT,AB_HY_WAT,4139225046,250.5209656,894,251,5.93,2.83,2.83,2.92,"28,767.00","6,200.00","28,767.00","6,200.00",0,0,.,0,0,2194563.5,2194563.5,0,0,0,0,102336.3984,102336.3984,0,.,0,"67,370.00",0,0,601.4562378,601.4562378,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,393,8760
